ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,21,0,0,0,13,13,0,0,0,0
10002,21,21,21,21,21,21,21,21,21,21
10003,14,14,14,14,14,14,14,14,14,14
10004,11,11,11,11,11,11,11,11,11,11
10005,0,0,0,0,0,0,0,0,0,0
10006,25,25,18,0,25,14,0,0,8,0
10007,0,0,0,0,0,0,0,0,0,0
10008,0,0,0,0,0,0,0,0,0,0
10009,0,0,0,0,0,0,0,0,0,0
10010,5,5,5,5,5,5,5,5,5,5
10011,0,0,0,0,0,0,0,0,0,0
10012,0,0,0,0,0,0,0,0,0,0
10013,0,0,21,0,0,10,0,0,0,31
10014,22,0,0,0,28,0,0,0,0,0
10015,4,15,14,14,10,22,17,14,0,3
10016,18,18,18,18,18,18,18,18,18,18
10017,29,0,0,0,0,0,0,16,13,0
10018,23,23,23,23,23,23,23,23,23,23
10019,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0
10021,8,8,8,8,8,8,8,8,8,8
10022,0,0,0,0,0,0,0,0,0,0
10023,15,15,15,15,15,15,15,15,15,15
10024,0,0,0,31,0,0,0,0,0,0
10025,0,18,0,28,0,15,0,26,22,0
10026,13,13,13,13,17,13,13,13,19,13
10027,39,39,39,39,39,39,39,39,39,39
10028,19,19,19,19,19,19,19,19,19,19
10029,0,0,0,0,0,0,0,0,0,0
10030,0,0,0,0,0,0,0,0,0,0
10031,0,0,0,0,20,31,0,0,22,0
10032,0,19,0,11,0,0,0,0,0,0
10033,0,0,0,32,0,18,0,0,12,0
10034,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0
10037,16,0,0,0,0,0,0,0,0,0
10038,0,0,0,0,0,0,0,0,0,0
10039,5,5,5,5,5,5,5,5,5,5
10040,17,14,14,14,36,14,14,15,14,14
10041,11,11,11,11,11,11,11,11,11,11
10042,0,0,0,0,0,0,0,0,0,0
10043,0,0,19,17,15,5,0,15,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,0
10046,0,0,0,0,0,0,0,0,0,0
10047,0,0,0,0,0,0,0,0,0,0
10048,27,27,27,27,27,27,27,27,27,27
10049,0,0,0,0,0,0,0,0,0,0
10050,0,0,0,0,0,0,0,0,0,0
10051,13,0,19,12,8,0,0,36,10,0
10052,23,40,0,0,11,0,0,0,33,0
10053,18,18,18,18,18,18,18,18,18,18
10054,21,0,0,0,11,0,0,0,0,0
10055,0,0,0,0,0,13,0,0,0,8
10056,0,0,0,0,0,0,0,0,0,0
10057,0,0,0,0,0,0,0,0,0,0
10058,0,0,0,0,0,0,0,0,0,0
10059,0,0,0,0,0,0,0,0,0,0
10060,0,0,0,0,0,0,0,0,0,0
10061,0,0,0,0,0,0,0,0,0,0
10062,0,0,9,0,0,9,0,0,12,9
10063,0,0,0,0,0,0,0,0,0,0
10064,0,0,0,0,0,0,0,0,0,0
10065,0,0,0,0,0,0,0,0,0,0
10066,20,20,20,20,20,20,20,20,20,20
10067,0,0,0,0,0,0,0,0,0,0
10068,37,37,37,37,37,37,37,37,37,37
10069,0,0,0,0,0,22,0,0,0,0
10070,0,0,0,0,0,0,0,18,0,0
10071,29,29,29,29,29,29,29,29,29,29
10072,24,24,24,24,24,24,24,24,24,24
10073,0,0,0,0,0,0,0,0,0,0
10074,0,0,0,0,0,0,0,0,0,0
10075,23,23,23,23,23,23,23,23,23,23
10076,8,0,0,0,0,0,0,0,0,0
10077,0,17,0,18,19,9,0,0,0,0
10078,10,10,10,10,10,10,10,10,10,10
10079,0,0,0,0,0,0,0,0,0,0
10080,0,0,0,0,0,0,0,0,0,0
10081,12,12,12,12,12,12,12,12,12,12
10082,0,0,0,0,0,0,0,0,0,0
10083,0,0,0,0,0,0,0,0,0,10
10084,0,0,0,0,0,0,0,0,0,0
10085,21,0,0,0,0,16,0,0,0,35
10086,8,19,9,4,12,14,9,0,24,9
10087,0,1,0,0,0,0,0,0,0,0
10088,10,10,10,10,10,10,10,10,10,10
10089,0,0,0,0,0,0,8,0,0,0
10090,16,16,16,41,16,16,16,16,16,16
10091,0,0,0,0,0,0,0,0,0,0
10092,0,14,24,0,0,0,4,0,13,18
10093,21,21,21,21,21,21,21,21,21,21
10094,20,0,30,20,0,0,0,0,0,13
10095,0,0,0,0,0,0,0,0,0,0
10096,0,0,0,0,0,0,0,0,0,0
10097,15,0,23,0,37,13,0,27,5,29
10098,7,7,7,7,7,7,7,8,7,7
10099,0,0,0,0,0,0,0,0,0,0
10100,13,21,0,0,0,0,17,0,0,0
10101,0,0,0,0,0,0,0,0,0,0
10102,0,0,0,0,0,0,0,0,0,11
10103,0,0,0,0,16,0,0,0,0,13
10104,0,19,0,0,18,0,0,0,4,0
10105,0,0,0,0,0,0,0,0,0,0
10106,0,0,0,0,0,0,0,0,0,0
10107,0,13,0,0,0,0,0,22,0,15
10108,0,8,4,31,0,15,15,23,22,7
10109,20,20,20,20,20,20,20,20,22,20
10110,0,0,0,0,0,0,0,0,0,0
10111,0,0,0,0,0,0,0,0,0,0
10112,15,24,26,32,13,18,17,29,15,11
10113,5,5,5,5,5,5,5,5,5,5
10114,0,0,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0,0,0
10116,28,0,0,18,0,0,0,0,0,0
10117,0,0,0,0,0,0,0,19,0,0
10118,0,0,0,0,27,0,0,0,0,0
10119,8,32,1,9,45,40,12,32,25,19
10120,0,0,0,0,0,0,0,0,0,0
10121,0,0,0,0,0,0,0,0,0,0
10122,19,19,19,19,19,19,19,19,19,19
10123,0,0,0,0,17,0,23,0,0,10
10124,0,0,0,0,0,0,0,0,0,0
10125,5,5,5,5,5,5,5,5,5,5
10126,0,0,0,0,0,0,0,0,0,26
10127,23,23,23,23,23,23,23,23,23,23
10128,0,0,0,0,0,0,0,0,0,0
10129,0,21,0,0,0,4,11,0,0,0
10130,30,30,30,30,30,30,30,30,30,30
10131,0,0,20,0,17,0,0,0,0,0
10132,0,0,0,0,0,0,0,0,0,20
10133,0,0,0,0,0,0,0,0,0,0
10134,0,0,0,0,0,0,0,0,0,0
10136,23,23,23,23,23,23,23,23,23,23
10137,26,26,26,26,26,26,26,26,26,26
10138,0,0,0,0,0,0,0,0,0,0
10139,0,0,0,0,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,0,0,0
10141,0,0,0,0,0,0,0,0,0,0
10142,36,36,36,36,36,36,36,36,36,36
10143,0,0,0,0,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,0,0
10145,0,0,0,0,0,0,0,14,21,0
10146,0,0,0,0,0,0,0,0,0,0
10147,0,8,13,0,0,0,0,17,0,24
10148,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0
10150,7,0,0,0,0,0,0,0,0,0
10151,12,12,12,12,12,12,12,12,12,12
10152,16,0,0,10,0,0,0,9,3,0
10153,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,12,0,0,0,0,11
10155,0,0,0,0,0,0,0,0,0,0
10156,0,0,0,0,0,0,0,0,0,0
10157,14,14,14,14,14,14,14,14,14,14
10158,43,43,43,43,43,43,43,43,43,43
10159,0,0,17,9,0,11,0,7,0,0
10160,0,0,0,0,0,0,0,0,0,0
10161,24,24,24,24,24,24,24,24,24,24
10162,0,0,0,0,0,0,0,0,0,0
10163,19,19,19,19,19,19,19,19,19,19
10164,0,0,0,0,0,0,0,0,0,0
10165,0,0,0,0,0,0,0,0,0,0
10166,0,0,0,0,11,0,0,0,0,0
10167,0,0,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,8,0,0,0,18,18,0,0,0,29
10171,0,0,0,26,5,35,0,0,27,5
10172,24,0,0,0,0,0,0,4,0,0
