ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,21,0,0,0,13,13,0,0,0,0
10002,1,1,21,21,21,21,21,21,21,21,21,21
10003,1,1,14,14,14,14,14,14,14,14,14,14
10004,1,1,11,11,11,11,11,11,11,11,11,11
10005,1,1,0,0,0,0,0,0,0,0,0,0
10006,1,1,25,25,18,0,25,14,0,0,8,0
10007,1,1,0,0,0,0,0,0,0,0,0,0
10007,2,1,0,0,0,0,0,0,0,0,0,0
10008,1,1,0,0,0,0,0,0,0,0,0,0
10009,1,1,0,0,0,0,0,0,0,0,0,0
10010,1,1,5,5,5,5,5,5,5,5,5,5
10010,2,1,5,5,5,5,5,5,5,5,5,5
10011,1,1,0,0,0,0,0,0,0,0,0,0
10012,1,1,0,0,0,0,0,0,0,0,0,0
10013,1,1,0,0,21,0,0,10,0,0,0,31
10013,2,1,0,0,0,0,0,0,0,0,0,0
10014,0,1,22,0,0,0,28,0,0,0,0,0
10014,1,1,0,0,0,0,0,0,0,0,0,0
10015,1,1,4,15,14,14,10,22,17,14,0,3
10015,2,1,0,0,0,0,0,0,0,0,0,0
10016,1,1,18,18,18,18,18,18,18,18,18,18
10017,1,1,29,0,0,0,0,0,0,16,13,0
10017,2,1,0,0,0,0,0,0,0,0,0,0
10018,0,1,23,23,23,23,23,23,23,23,23,23
10018,1,1,0,0,0,0,0,0,0,0,0,0
10019,1,1,0,0,0,0,0,0,0,0,0,0
10019,2,1,0,0,0,0,0,0,0,0,0,0
10020,1,1,0,0,0,0,0,0,0,0,0,0
10020,2,1,0,0,0,0,0,0,0,0,0,0
10021,1,1,8,8,8,8,8,8,8,8,8,8
10022,1,1,0,0,0,0,0,0,0,0,0,0
10023,1,1,15,15,15,15,15,15,15,15,15,15
10023,2,1,0,0,0,0,0,0,0,0,0,0
10024,0,1,0,0,0,0,0,0,0,0,0,0
10024,1,1,0,0,0,31,0,0,0,0,0,0
10025,1,1,0,18,0,28,0,15,0,26,22,0
10026,0,1,3,0,0,13,17,13,0,0,19,0
10026,2,1,13,13,13,13,13,13,13,13,13,13
10027,1,1,39,39,39,39,39,39,39,39,39,39
10028,1,1,19,19,19,19,19,19,19,19,19,19
10029,1,1,0,0,0,0,0,0,0,0,0,0
10029,2,1,0,0,0,0,0,0,0,0,0,0
10029,3,1,0,0,0,0,0,0,0,0,0,0
10030,1,1,0,0,0,0,0,0,0,0,0,0
10030,2,1,0,0,0,0,0,0,0,0,0,0
10031,1,1,0,0,0,0,20,31,0,0,22,0
10031,2,1,0,0,0,0,0,0,0,0,0,0
10032,1,1,0,19,0,11,0,0,0,0,0,0
10032,2,1,0,0,0,0,0,0,0,0,0,0
10033,1,1,0,0,0,32,0,18,0,0,12,0
10034,1,1,0,0,0,0,0,0,0,0,0,0
10034,2,1,0,0,0,0,0,0,0,0,0,0
10035,1,1,0,0,0,0,0,0,0,0,0,0
10035,2,1,0,0,0,0,0,0,0,0,0,0
10037,1,1,16,0,0,0,0,0,0,0,0,0
10037,2,1,0,0,0,0,0,0,0,0,0,0
10038,1,1,0,0,0,0,0,0,0,0,0,0
10039,0,1,5,5,5,5,5,5,5,5,5,5
10039,1,1,0,0,0,0,0,0,0,0,0,0
10040,1,1,14,14,14,14,14,14,14,14,14,14
10040,2,1,17,0,0,0,36,0,0,15,0,0
10041,1,1,11,11,11,11,11,11,11,11,11,11
10042,0,1,0,0,0,0,0,0,0,0,0,0
10042,1,1,0,0,0,0,0,0,0,0,0,0
10043,1,1,0,0,19,17,15,5,0,15,0,0
10044,1,1,0,0,0,0,0,0,0,0,0,0
10045,1,1,0,0,0,0,0,0,0,0,0,0
10045,2,1,0,0,0,0,0,0,0,0,0,0
10045,3,1,0,0,0,0,0,0,0,0,0,0
10046,1,1,0,0,0,0,0,0,0,0,0,0
10046,2,1,0,0,0,0,0,0,0,0,0,0
10047,1,1,0,0,0,0,0,0,0,0,0,0
10047,2,1,0,0,0,0,0,0,0,0,0,0
10048,0,1,27,27,27,27,27,27,27,27,27,27
10048,1,1,0,0,0,0,0,0,0,0,0,0
10049,1,1,0,0,0,0,0,0,0,0,0,0
10050,1,1,0,0,0,0,0,0,0,0,0,0
10051,1,1,13,0,19,12,0,0,0,0,0,0
10051,2,1,0,0,0,0,8,0,0,36,10,0
10052,0,1,23,40,0,0,11,0,0,0,33,0
10052,1,1,0,0,0,0,0,0,0,0,0,0
10053,1,1,18,18,18,18,18,18,18,18,18,18
10054,0,1,21,0,0,0,11,0,0,0,0,0
10054,1,1,0,0,0,0,0,0,0,0,0,0
10055,1,1,0,0,0,0,0,13,0,0,0,0
10055,2,1,0,0,0,0,0,0,0,0,0,8
10056,1,1,0,0,0,0,0,0,0,0,0,0
10057,1,1,0,0,0,0,0,0,0,0,0,0
10057,2,1,0,0,0,0,0,0,0,0,0,0
10058,1,1,0,0,0,0,0,0,0,0,0,0
10059,1,1,0,0,0,0,0,0,0,0,0,0
10059,2,1,0,0,0,0,0,0,0,0,0,0
10060,1,1,0,0,0,0,0,0,0,0,0,0
10060,2,1,0,0,0,0,0,0,0,0,0,0
10061,0,1,0,0,0,0,0,0,0,0,0,0
10061,1,1,0,0,0,0,0,0,0,0,0,0
10062,0,1,0,0,0,0,0,0,0,0,0,0
10062,1,1,0,0,9,0,0,9,0,0,12,9
10063,0,1,0,0,0,0,0,0,0,0,0,0
10063,1,1,0,0,0,0,0,0,0,0,0,0
10064,1,1,0,0,0,0,0,0,0,0,0,0
10064,2,1,0,0,0,0,0,0,0,0,0,0
10065,1,1,0,0,0,0,0,0,0,0,0,0
10066,1,1,20,20,20,20,20,20,20,20,20,20
10066,2,1,0,0,0,0,0,0,0,0,0,0
10067,1,1,0,0,0,0,0,0,0,0,0,0
10068,1,1,37,37,37,37,37,37,37,37,37,37
10069,1,1,0,0,0,0,0,22,0,0,0,0
10069,2,1,0,0,0,0,0,0,0,0,0,0
10070,1,1,0,0,0,0,0,0,0,0,0,0
10070,2,1,0,0,0,0,0,0,0,18,0,0
10071,1,1,29,29,29,29,29,29,29,29,29,29
10071,2,1,0,0,0,0,0,0,0,0,11,0
