STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,NMCC,NMCCNAME
1,Alabama,10014,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10014,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10018,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10018,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10024,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10024,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10026,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10039,0,1,0,None Noted
1,Alabama,10042,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10042,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10042,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10048,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10052,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10052,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10054,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10054,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10061,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10061,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10062,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10062,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10062,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10063,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10063,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10082,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10082,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10082,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10085,0,1,0,None Noted
1,Alabama,10086,0,1,0,None Noted
1,Alabama,10088,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10100,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10100,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10107,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10109,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10109,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10109,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10117,0,1,0,None Noted
1,Alabama,10123,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10123,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10129,0,1,13,Failing to Have Lights on When Required
1,Alabama,10129,0,1,14,Operating Without Required Equipment
1,Alabama,10129,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10130,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10130,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10131,0,1,0,None Noted
1,Alabama,10138,0,1,6,"Inattentive (Talking, Eating, Etc.)"
1,Alabama,10140,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10140,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10141,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10141,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10141,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10163,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10163,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10170,0,1,0,None Noted
1,Alabama,10171,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10172,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10172,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10177,0,1,0,None Noted
1,Alabama,10179,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10179,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10180,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10180,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10184,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10192,0,1,0,None Noted
1,Alabama,10194,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10194,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10196,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10209,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10209,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10211,0,1,0,None Noted
1,Alabama,10222,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10222,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10226,0,1,0,None Noted
1,Alabama,10236,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10238,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10238,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10249,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10249,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10249,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10257,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10263,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10263,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10264,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10265,0,1,0,None Noted
1,Alabama,10272,0,1,0,None Noted
1,Alabama,10277,0,1,0,None Noted
1,Alabama,10279,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10279,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10279,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10287,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10287,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10288,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10290,0,1,0,None Noted
1,Alabama,10295,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10297,0,1,0,None Noted
1,Alabama,10318,0,1,0,None Noted
1,Alabama,10320,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10323,0,1,0,None Noted
1,Alabama,10325,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10325,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10327,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10337,0,1,0,None Noted
1,Alabama,10346,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10346,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10351,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10351,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10355,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10362,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10362,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10380,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10381,0,1,99,Reported as Unknown
1,Alabama,10383,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10383,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10385,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10396,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10401,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10410,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10410,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10412,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10412,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10428,0,1,0,None Noted
1,Alabama,10429,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10429,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10441,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10441,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10449,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10451,0,1,0,None Noted
1,Alabama,10466,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10466,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10479,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10494,0,1,0,None Noted
1,Alabama,10494,0,2,0,None Noted
1,Alabama,10500,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10500,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10508,0,1,0,None Noted
1,Alabama,10509,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10509,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10533,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10555,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10557,0,1,0,None Noted
1,Alabama,10573,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10584,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10602,0,1,9,Wrong-Way Riding or Walking
